,oid,Id,sentence,Flag,context,labels
0,0,63320_199003_0,"The message I bring to you today is a message of confidence in the future of Australia, and a renewed commitment to a better, fairer future for all Australians.",,,1
1,1,63320_199003_1,It is a message based firmly on realism.,1.0,"The message I bring to you today is a message of confidence in the future of Australia, and a renewed commitment to a better, fairer future for all Australians.",1
2,2,63320_199003_2,- The realism and substance of our policies for The future.,,"The message I bring to you today is a message of confidence in the future of Australia, and a renewed commitment to a better, fairer future for all Australians. It is a message based firmly on realism.",1
3,3,63320_199003_3,- The fact that The tough and hard decisions we have had to make for The good of Australia are starting to work.,,It is a message based firmly on realism. - The realism and substance of our policies for The future.,1
4,4,63320_199003_4,"- The fact that we are building together a nation of opportunity, fairness and security.",,- The realism and substance of our policies for The future. - The fact that The tough and hard decisions we have had to make for The good of Australia are starting to work.,1
5,5,63320_199003_5,"- and above all, on The strength of The Australian people.",,"- The fact that The tough and hard decisions we have had to make for The good of Australia are starting to work. - The fact that we are building together a nation of opportunity, fairness and security.",1
6,6,63320_199003_6,"My Friends,  I know that we have had to take hard and unpopular decisions for difficult times.",1.0,"- The fact that we are building together a nation of opportunity, fairness and security. - and above all, on The strength of The Australian people.",1
7,7,63320_199003_7,"I know - I understand completely - that those decisions have been tough for many decent, hard working Australians.",1.0,"- and above all, on The strength of The Australian people. My Friends,  I know that we have had to take hard and unpopular decisions for difficult times.",1
8,8,63320_199003_8,"But I also know that I would not be fit to lead our great country if I had chosen the easy, popular way at the cost of the nation's future.",1.0,"My Friends,  I know that we have had to take hard and unpopular decisions for difficult times. I know - I understand completely - that those decisions have been tough for many decent, hard working Australians.",1
9,9,63320_199003_9,And anyone - however glib or smooth - who tells the people of Australia that the future lies at the end of an easy road is not fit to be your Prime Minister.,1.0,"I know - I understand completely - that those decisions have been tough for many decent, hard working Australians. But I also know that I would not be fit to lead our great country if I had chosen the easy, popular way at the cost of the nation's future.",1
10,10,63320_199003_10,This is not a time for slogans or hollow rhetoric.,1.0,"But I also know that I would not be fit to lead our great country if I had chosen the easy, popular way at the cost of the nation's future. And anyone - however glib or smooth - who tells the people of Australia that the future lies at the end of an easy road is not fit to be your Prime Minister.",1
11,11,63320_199003_11,It is a time for leadership.,1.0,And anyone - however glib or smooth - who tells the people of Australia that the future lies at the end of an easy road is not fit to be your Prime Minister. This is not a time for slogans or hollow rhetoric.,1
12,12,63320_199003_12,It is a time for substance.,1.0,This is not a time for slogans or hollow rhetoric. It is a time for leadership.,1
13,13,63320_199003_13,It is a time for realistic policies.,1.0,It is a time for leadership. It is a time for substance.,1
14,14,63320_199003_14,It is a time for real answers.,1.0,It is a time for substance. It is a time for realistic policies.,1
15,15,63320_199003_15,It is a time for vision with realism.,1.0,It is a time for realistic policies. It is a time for real answers.,1
16,16,63320_199003_16,"And now more than ever, it is a time for stability and unity in government.",1.0,It is a time for real answers. It is a time for vision with realism.,1
17,17,63320_199003_17,"And by those tests, the people of Australia have never had a clearer choice.",1.0,"It is a time for vision with realism. And now more than ever, it is a time for stability and unity in government.",1
18,18,63320_199003_18,"And in a very deep sense, the choice lies between two opposing principles - the choice between opportunity and privilege.",1.0,"And now more than ever, it is a time for stability and unity in government. And by those tests, the people of Australia have never had a clearer choice.",1
19,19,63320_199003_19,"This, in the final analysis, is the great divide between Labor and the Liberal/National Coalition - a profound difference over goals for the nation, and over a range of specific issues: taxation, education, training, industrial relations, health care, child care, superannuation.",,"And by those tests, the people of Australia have never had a clearer choice. And in a very deep sense, the choice lies between two opposing principles - the choice between opportunity and privilege.",1
20,20,63320_199003_20,"On all these vital issues, you have the decisive difference - Labor working to enlarge equality of opportunity for all; a Liberal/National coalition working to deny opportunity and entrench privilege.",,"And in a very deep sense, the choice lies between two opposing principles - the choice between opportunity and privilege. This, in the final analysis, is the great divide between Labor and the Liberal/National Coalition - a profound difference over goals for the nation, and over a range of specific issues: taxation, education, training, industrial relations, health care, child care, superannuation.",1
21,21,63320_199003_21,"My Friends,  Labor presents a comprehensive, realistic, responsible and achievable plan for Australia's future:",,"This, in the final analysis, is the great divide between Labor and the Liberal/National Coalition - a profound difference over goals for the nation, and over a range of specific issues: taxation, education, training, industrial relations, health care, child care, superannuation. On all these vital issues, you have the decisive difference - Labor working to enlarge equality of opportunity for all; a Liberal/National coalition working to deny opportunity and entrench privilege.",1
22,22,63320_199003_22, - a plan for continued growth and rising productivity.,,"On all these vital issues, you have the decisive difference - Labor working to enlarge equality of opportunity for all; a Liberal/National coalition working to deny opportunity and entrench privilege. My Friends,  Labor presents a comprehensive, realistic, responsible and achievable plan for Australia's future:",1
23,23,63320_199003_23,- a plan to increase the nation's savings and reduce the nation's debt.,,"My Friends,  Labor presents a comprehensive, realistic, responsible and achievable plan for Australia's future:  - a plan for continued growth and rising productivity.",1
24,24,63320_199003_24,- a strategy to boost exports and replace imports.,, - a plan for continued growth and rising productivity. - a plan to increase the nation's savings and reduce the nation's debt.,1
25,25,63320_199003_25,- a strategy to free up international trade and to tie Australia into The economic boom in Asia and The Pacific.,,- a plan to increase the nation's savings and reduce the nation's debt. - a strategy to boost exports and replace imports.,3
26,26,63320_199003_26,- a framework of education and science policies to prepare our young people for the challenges of the 21st century.,,- a strategy to boost exports and replace imports. - a strategy to free up international trade and to tie Australia into The economic boom in Asia and The Pacific.,1
27,27,63320_199003_27,"- an agenda for a fair society with opportunity open to all Australians wherever they were born, whatever their background.",,- a strategy to free up international trade and to tie Australia into The economic boom in Asia and The Pacific. - a framework of education and science policies to prepare our young people for the challenges of the 21st century.,1
28,28,63320_199003_28,- a commitment to The right of all Australians to health :are through Medicare.,,"- a framework of education and science policies to prepare our young people for the challenges of the 21st century. - an agenda for a fair society with opportunity open to all Australians wherever they were born, whatever their background.",6
29,29,63320_199003_29,"- a plan to protect Australia's precious environment for all time, for all Australians.",,"- an agenda for a fair society with opportunity open to all Australians wherever they were born, whatever their background. - a commitment to The right of all Australians to health :are through Medicare.",1
30,30,63320_199003_30,Our plan represents an historic step towards great national goals:  ,,"- a commitment to The right of all Australians to health :are through Medicare. - a plan to protect Australia's precious environment for all time, for all Australians.",1
31,31,63320_199003_31,"- a modern, growing economy, earning its income, paying its way through exports to The markets of The world, re-equipped and restructured in its attitudes, its institutions and its technology.",,"- a plan to protect Australia's precious environment for all time, for all Australians. Our plan represents an historic step towards great national goals:  ",1
32,32,63320_199003_32,- a self confident and vigorous partner in The world economy and in The economy of our region - The region of The future.,,"Our plan represents an historic step towards great national goals:   - a modern, growing economy, earning its income, paying its way through exports to The markets of The world, re-equipped and restructured in its attitudes, its institutions and its technology.",1
33,33,63320_199003_33,"Let me emphasise:  The new proposals I present today are achievable, responsible, fully paid for.",,"- a modern, growing economy, earning its income, paying its way through exports to The markets of The world, re-equipped and restructured in its attitudes, its institutions and its technology. - a self confident and vigorous partner in The world economy and in The economy of our region - The region of The future.",7
34,34,63320_199003_34,"By contrast, our opponents, at last count, had a credibility gap of $6000 million in unfunded promises.",1.0,"- a self confident and vigorous partner in The world economy and in The economy of our region - The region of The future. Let me emphasise:  The new proposals I present today are achievable, responsible, fully paid for.",1
35,35,63320_199003_35,Our new proposals build on our years of hard work together - our work together to create one million six hundred thousand new jobs to take 250000 people off the dole.,,"Let me emphasise:  The new proposals I present today are achievable, responsible, fully paid for. By contrast, our opponents, at last count, had a credibility gap of $6000 million in unfunded promises.",1
36,36,63320_199003_36,"The task of managing the Australian economy in these times of strong growth has, of course, called for rigorous `policies - and sometimes tough decisions.",1.0,"By contrast, our opponents, at last count, had a credibility gap of $6000 million in unfunded promises. Our new proposals build on our years of hard work together - our work together to create one million six hundred thousand new jobs to take 250000 people off the dole.",1
37,37,63320_199003_37,And let me say frankly to all my fellow Australians: there was no decision tougher for us than to have interest rates that hurt home buyers and squeezed business.,1.0,"Our new proposals build on our years of hard work together - our work together to create one million six hundred thousand new jobs to take 250000 people off the dole. The task of managing the Australian economy in these times of strong growth has, of course, called for rigorous `policies - and sometimes tough decisions.",1
