,oid,Id,Sentence,Flag,labels
0,0,63320_199303_0,In seventeen days Australians will choose between two very different paths for their country.,1.0,1
1,1,63320_199303_1,Labor believes in advancing together.,,1
2,2,63320_199303_2,We believe in getting unemployment down through growth - not in clubbing the economy with a new 15 per cent tax on nearly everything we buy.,,3
3,3,63320_199303_3,"We believe in practical, sensible policies to stimulate private investment and increase employment, while continuing with public investment in railways and roads - not in raising company tax and slashing government spending.",,3
4,4,63320_199303_4,We believe that Australia must continue to increase its exports and that our future lies IN closer links with the fast growing economies of East Asia - not that exports will take care of themselves if we cut tariffs to zero.,,7
5,5,63320_199303_5,"We believe in good health care, good education and a good environment for all Australians - not in auctioning these fundamentals to the highest bidder.",,1
6,6,63320_199303_6,"We believe that the wealth and success of nations in coming decades will depend more and more on the skills and training of their workforces and the quality of cooperative relations between employees and employers - not on industrial war, individual contracts and low wages.",,5
7,7,63320_199303_7,Labor's overriding priority for the next three years is jobs.,,2
8,8,63320_199303_8,Jobs for the unemployed.,,3
9,9,63320_199303_9,Jobs for young people newly entering the workforce.,,6
10,10,63320_199303_10,Jobs for people re-entering the workforce.,,1
11,11,63320_199303_11,LABOR'S STRATEGY FOR JOBS GROWTH IN THE 1990S . ,1.0,1
12,12,63320_199303_12,We recognise the task is not easy.,1.0,1
13,13,63320_199303_13,"The Keating Government has put together a strategy for employment that includes public employment, private investment, an industry focus, a regional approach, and substantial public investment in training and retraining to return long-term unemployed people to the workforce.",,7
14,14,63320_199303_14,"Public spending can create jobs and, in One Nation and the Budget, Labor made sure that the Government stepped in to stop the fall in employment.",1.0,1
15,15,63320_199303_15,"Labor will maintain this spending, but public spending alone can create only a small fraction of the Jobs needed over the next three years to reduce unemployment.",,4
16,16,63320_199303_16,Most jobs over the next three years will have to be created in business - which means business needs the confidence and the incentive to invest in increased production.,,1
17,17,63320_199303_17,For the next three years Labor will therefore place the emphasis where it ought to be.,,1
18,18,63320_199303_18,"Not on big new taxes, not on industrial conflict, but on incentives to invest.",,1
19,19,63320_199303_19,Labor has a jobs strategy for the nineties which is designed to assist recovery in business.,,3
20,20,63320_199303_20,"Under Labor, business will pay a tax of 33 per cent on its profits - compared with 42 per cent promised by the Opposition.",,7
21,21,63320_199303_21,"Under Labor, business will be able to obtain an extra tax credit of up to 20 per cent on all investment in the next two years - an incentive the Opposition refuses to offer.",,4
22,22,63320_199303_22,"Under Labor, an encouraging climate for investment has been created.",,1
23,23,63320_199303_23,"Interest rates and inflation are low, profits are high, the exchange rate is very competitive and workers and employers are supporting change in an atmosphere of cooperation.",,3
24,24,63320_199303_24,Labor has supported specific industries in their endeavours to compete on world markets.,1.0,1
25,25,63320_199303_25,And LABOR will continue to do so.,,4
26,26,63320_199303_26,We will remove constraints on growth industries.,,1
27,27,63320_199303_27,We will put the resources of government to work in expanding markets.,,1
28,28,63320_199303_28,*  We will enhance the training and skills of employees.,,4
29,29,63320_199303_29,We will continue to encourage innovation and enterprise as more and more films expand into export markets.,,4
30,30,63320_199303_30,"Labor's support for specific industries has seen a rapid expansion in exports of cars, medical and scientific equipment, ferries and phannaccuticals, telecommunications equipment and services, and processed food.",1.0,1
31,31,63320_199303_31,Labor will complement an industry strategy with a regional strategy.,,2
32,32,63320_199303_32,The spread of growth and employment is dramatically uneven in Australia today.,1.0,1
33,33,63320_199303_33,Queensland and Western Australia are moving ahead well while there are some signs that growth is stirring in NSW.,1.0,1
34,34,63320_199303_34,"But Victoria, South Australia and Tasmania are responding much more slowly.",1.0,1
35,35,63320_199303_35,"Within the states, some regions are doing well, and others have bees hurt by high unemployment and the loss of key industries.",1.0,1
36,36,63320_199303_36,Labor believes that we cannot allow such regions to lag behind.,,1
37,37,63320_199303_37,"We will create a Commonwealth Department of Regional Development to coordinate national programs to bring vigorous new industries to declining regions, and to equip people in these regions with the skills needed for their new industries.",,7
38,38,63320_199303_38,"However much we do to encourage new investment and new industries, and to reverse the decline of some regions.",,1
39,39,63320_199303_39,Labor recognises that there will be many thousands of Australians who remain unemployed and have continuing difficulty finding work.,,1
40,40,63320_199303_40,"People who have been unemployed a long time suffer the greatest distress from unemployment, and the greatest income loss.",1.0,1
41,41,63320_199303_41,They are also in the greatest danger of losing valuable work skills and of being unable to contribute as much as they are able to Australia's prosperity.,1.0,1
42,42,63320_199303_42,"Labor is committed to providing programs of training, retraining and subsidised job access to assist the long-term unemployed.",,6
