,OID,Id,Sentence,Flag,labels
0,1,63320_199810_1,"As we enter a new century, we face again the same challenge that confronted our nation's founders.",1.0,1
1,2,63320_199810_2,"Can we come together, and put petty rivalries and differences aside, and build a new nation for a new century?",,2
2,3,63320_199810_3,We're here in an election campaign that will decide how Australia enters that century - our second century as a nation.,1.0,1
3,4,63320_199810_4,"But above all, we're here to launch a claim for the Australian people.",1.0,1
4,5,63320_199810_5,"We launch their claim for jobs, for decent health care, for an education, for security and opportunity in their lives.",1.0,1
5,6,63320_199810_6,We launch their claim for the better Australia that they deserve.,1.0,1
6,7,63320_199810_7,"The Labor Party has listened to the millions in our community who feel betrayed by a Government that has divided Australian against Australian, boss against worker, 'haves' against 'have-nots'.",1.0,1
7,8,63320_199810_8,"We have listened to those voices, and we have learned.",1.0,1
8,9,63320_199810_9,Our opponents have not listened.,1.0,1
9,10,63320_199810_10,"In this election campaign, as they have for 2½ years in Government, they wrap old prejudice in the guise of reform: - As they pursue a flawed and unfair GST, they confuse stubbornness with courage.",1.0,1
10,11,63320_199810_11,"- As they pursue the sale of Telstra - a policy John Howard announced in this very place - they tell the Australian people they will only sell another 16%, while telling those in the know that they will sell it all.",1.0,1
11,12,63320_199810_12,Our opponents like to call themselves good economic managers.,1.0,1
12,13,63320_199810_13,"It is just as well they think so, because no-one else would, with annual economic growth down by 1% on average, a $30 billion increase in foreign debt, and job creation in their first 30 months running at less than half the level achieved in Labor's last 30.",1.0,1
13,14,63320_199810_14,"In this election, we stand at a fork in the road to the future.",1.0,1
14,15,63320_199810_15,The two roads that lie before us will produce two very different Australia's in the coming Century.,1.0,1
15,16,63320_199810_16,"Both Australia's are countries of great natural beauty, abundant natural resources, and populated by a creative and courageous people.",1.0,1
16,17,63320_199810_17,But only one of those Australia's will have a Government committed to finding jobs for all Australians who want to work.,,3
17,18,63320_199810_18,Only one of those Australia's will have a Government which will invest in the skills of its people.,,3
18,19,63320_199810_19,Only one will be there to reward the work and effort of ordinary Australians.,,3
19,20,63320_199810_20,"In short, only one will have a Government that sees itself as a partner in the lives of the Australian people.",,1
20,21,63320_199810_21,That Australia will be the one with a Labor Government.,,2
21,22,63320_199810_22,"Historians 50 or 100 years from now will write of this last election of the 20th Century as a contest between a vision for the whole nation, and a plan for a tax.",1.0,1
22,23,63320_199810_23,"Those same historians would scoff at the absurdity of a Coalition proposing a new $30 billion tax on Australian families, with economic crisis looming offshore, unemployment stuck above 8%, and widespread insecurity in Australian society.",1.0,1
23,24,63320_199810_24,"That tax is John Howard's only answer to all the problems which beset us: a new 10% GST on everything from baby food and clothes to schoolbooks, a 10% GST on jobs, on holidays, retirement units, funeral services.",1.0,1
24,25,63320_199810_25,A tax from cradle to grave.,1.0,1
25,26,63320_199810_26,"And a tax that will snake down every suburban street, every day: into the mailbox in the envelope with the telephone bill, into the shopping bag every week on the supermarket docket, through the coin slot at the railway station, at the turnstile at the football or the cricket.",1.0,1
26,27,63320_199810_27,John Howard's GST will be there when the sink gets blocked and you need to call out a plumber.,1.0,1
27,28,63320_199810_28,It will be there when you need a removalist to move house.,1.0,1
28,29,63320_199810_29,"And it will be there on every child's birthday, and every Christmas time.",1.0,1
29,30,63320_199810_30,"This is a tax Australia should never, ever have.",,3
30,31,63320_199810_31,"And which we could never, ever get rid of.",,1
31,32,63320_199810_32,"We put at the centre of this election campaign a plan for our nation, not just a plan for a tax.",,1
32,33,63320_199810_33,And that is the plan I release to you today.,1.0,1
33,34,63320_199810_34,"Too few campaign launches in recent years have done what campaign launches used to do - what Ben Chifley, and even Bob Menzies, used to do - and that is launch comprehensive, detailed plans for the nation.",1.0,1
34,35,63320_199810_35,"Today, Labor releases that plan - in 263 pages of detail - a plan for jobs, security and opportunity for all our people.",1.0,1
35,36,63320_199810_36,"Our last 2½ years have had one strong theme, and that theme is our belief that Australians deserve security and opportunity in their lives, and that this belief must drive a Government program as broad and as comprehensive as Australian life.",,7
36,37,63320_199810_37,There is no one magic source for that security and opportunity.,1.0,1
37,38,63320_199810_38,"It is not good enough to mouth assurances that they will somehow magically trickle down from on high, or emerge out of some soulless economic machine.",1.0,1
38,39,63320_199810_39,"If a tax looks like it is going to hurt, that is because it will.",1.0,1
39,40,63320_199810_40,"Governments cause pain frequently enough, even when they don't mean to, and there is no mystical virtue in accepting pain for pain's sake.",1.0,1
40,41,63320_199810_41,I say why don't we put security and opportunity first?,,1
41,42,63320_199810_42,I see an Australia where Government values and cares about its citizens.,,2
42,43,63320_199810_43,We must have a Government that believes in the security that comes from a strong universal health care system - the security that comes from knowing that your health is more important to the system than a dollar.,,2
43,44,63320_199810_44,"Real security is knowing that when your child falls ill - seriously ill - in the middle of the night, there is a public hospital and the best medical care modern science can provide, and that you can get that care no matter how much money you have.",,2
44,45,63320_199810_45,This is why Labor is restoring and increasing funding for public hospitals.,,6
45,46,63320_199810_46,It is why we will inject an additional $2 billion into public hospitals over the course of the current Medicare agreement.,,7
46,47,63320_199810_47,It is also why we are abolishing the Howard Government's harsh new fees for nursing homes.,,6
47,48,63320_199810_48,We say that Australians who need nursing home care today have a bargain with our generation.,1.0,1
48,49,63320_199810_49,"They saved this country in wartime, and made it safe for us to live here.",1.0,1
49,50,63320_199810_50,"We must not repay our debt to them by making them sell their family homes to get into a nursing home, in their moment of greatest vulnerability.",,1
50,51,63320_199810_51,Labor is putting back the money the Howard Government took out - and then some - and we are doing so as a statement of principle.,,2
51,52,63320_199810_52,Nursing homes are the same as public hospitals - end of story.,1.0,1
52,53,63320_199810_53,"We do not charge up-front fees for public hospitals, we will not do so for nursing homes.",,6
53,54,63320_199810_54,Labor also believes that the great opportunities for our nation in this coming century must be opportunities shared by all Australians.,,3
54,55,63320_199810_55,We are a nation of just 18 million in a region where many nations grow by our entire population every year.,1.0,1
55,56,63320_199810_56,There is no future for our nation and our people without a skilled and united population - none.,1.0,1
56,57,63320_199810_57,"I see a future where every generation of Australians is more skilled than the last, where education helps our people to secure employment throughout their lives, and where Australia's opportunities in the global economy are always pushed forward by the skills of our people.",1.0,1
57,58,63320_199810_58,I say to the parents of Australia that Labor shares with them their most natural desire in the world - the desire for their children to have a better life than they themselves have had.,,3
58,59,63320_199810_59,This is why we will not play favourites with Australian children in their schools on the basis of ability to pay.,,2
59,60,63320_199810_60,Decent governments do not allow disadvantage to entrench itself in the school system.,,2
60,61,63320_199810_61,We will not.,,1
61,62,63320_199810_62,"Our Australian schools need better funding, and Labor will provide an extra $964 million to give it to them.",,7
62,63,63320_199810_63,We must also make post-secondary education a path to better jobs for young Australians.,,3
63,64,63320_199810_64,This is what Labor's investment in the vocational education sector is all about.,,3
64,65,63320_199810_65,"Where our opponents see vocational education as an opportunity to economise, we see it as opportunity which must be writ large for young Australians.",,2
65,66,63320_199810_66,Labor is restoring $120 million in growth funding to this sector.,,7
66,67,63320_199810_67,"I want Australia to be a nation where all children who can benefit from a university education, get that opportunity - because they deserve it, and because we need them to get it.",,2
67,68,63320_199810_68,"If we truly wish to take our place among the 21st Century's most creative nations, we must invest now in the citizens who will put us there.",,2
68,69,63320_199810_69,"John Howard has not launched an education policy in this campaign, instead, he will launch into more education cuts if he wins.",1.0,1
69,70,63320_199810_70,"Another 3 years of Mr Howard and Dr Kemp, and we will have $100,000 fees as standard practice.",1.0,1
70,71,63320_199810_71,That is why this election is the last chance Australian parents have to rescue equal access to university for their children.,1.0,1
71,72,63320_199810_72,"Labor will provide an extra $217 million for Australian universities to set them up for a brighter future, not set them up for a fall.",,7
72,73,63320_199810_73,Which brings me to the one issue in this campaign which has become a byword for security in our population.,1.0,1
73,74,63320_199810_74,I am talking about jobs.,1.0,1
74,75,63320_199810_75,"As Prime Minister, I want to look after Australians, but I know nothing is as good as giving people a chance to look after themselves.",,2
75,76,63320_199810_76,A job is the heart of family life.,1.0,1
76,77,63320_199810_77,"A wage supports a family, builds a home, and a decent retirement income.",1.0,1
77,78,63320_199810_78,Anything which undermines that undermines our society.,1.0,1
78,79,63320_199810_79,I refuse to accept an Australia where those who want to work cannot find work.,,7
79,80,63320_199810_80,"John Howard, on the other hand, seems relaxed and comfortable about it.",1.0,1
80,81,63320_199810_81,"2½ years of John Howard's Australia have produced not falling unemployment, but almost exactly the same number of unemployed Australians as there were in 1996, and worse: youth unemployment up to 28.2%, over 50,000 more long-term unemployed, and 194,000 people who have given up on ever finding work - the only reason the unemployment rate is not actually higher than when this Government came into office.",1.0,1
81,82,63320_199810_82,The only thing that makes John Howard uncomfortable about unemployment is my unemployment target.,1.0,1
82,83,63320_199810_83,"He attacks it because he desperately, desperately wants me to drop it.",1.0,1
