,oid,Id,sentence,cmp_code,eu_code,Flag,Context,labels
0,0,63320_201008_0,Health Reform.,,,1.0,,1
1,1,63320_201008_1,A Healthy System for the 21st Century.,,,1.0,Health Reform.,1
2,2,63320_201008_2,"The Gilllard Labor Government is delivering a National Health and Hospitals Network, to provide better health and better hospitals for Australian working families.",504,,,Health Reform. A Healthy System for the 21st Century.,6
3,3,63320_201008_3,This is the most significant reform to Australia's health and hospitals system since the introduction of Medicare.,504,,,"A Healthy System for the 21st Century. The Gilllard Labor Government is delivering a National Health and Hospitals Network, to provide better health and better hospitals for Australian working families.",1
4,4,63320_201008_4,"It will make sure more hospital beds are available, there are more doctors and nurses, and it is easier to receive high quality GP and primary care services close to home.",504,,,"The Gilllard Labor Government is delivering a National Health and Hospitals Network, to provide better health and better hospitals for Australian working families. This is the most significant reform to Australia's health and hospitals system since the introduction of Medicare.",1
5,5,63320_201008_5,"From July 1 this year, the Gillard Labor Government began delivering $7.3 billion in investments over the next five years to provide:",504,,,"This is the most significant reform to Australia's health and hospitals system since the introduction of Medicare. It will make sure more hospital beds are available, there are more doctors and nurses, and it is easier to receive high quality GP and primary care services close to home.",7
6,6,63320_201008_6,"1,300 new sub-acute hospital beds;",504,,,"It will make sure more hospital beds are available, there are more doctors and nurses, and it is easier to receive high quality GP and primary care services close to home. From July 1 this year, the Gillard Labor Government began delivering $7.3 billion in investments over the next five years to provide:",7
7,7,63320_201008_7,Emergency department waiting times capped at four hours;,504,,,"From July 1 this year, the Gillard Labor Government began delivering $7.3 billion in investments over the next five years to provide: 1,300 new sub-acute hospital beds;",1
8,8,63320_201008_8,Elective surgery delivered in clinically recommended times for 95 per cent of Australians;,504,,,"1,300 new sub-acute hospital beds; Emergency department waiting times capped at four hours;",7
9,9,63320_201008_9,"Training for 6,000 more doctors, including doubling the number of GPs trained every year;",504,,,Emergency department waiting times capped at four hours; Elective surgery delivered in clinically recommended times for 95 per cent of Australians;,7
10,10,63320_201008_10,"Better support for nurses working in GP and primary care, aged care and mental health;",504,,,"Elective surgery delivered in clinically recommended times for 95 per cent of Australians; Training for 6,000 more doctors, including doubling the number of GPs trained every year;",1
11,11,63320_201008_11,A national after hours GP service ñ with a 24 hour hotline that provides GP advice and can arrange a follow-up visit in your local community;,504,,,"Training for 6,000 more doctors, including doubling the number of GPs trained every year; Better support for nurses working in GP and primary care, aged care and mental health;",6
12,12,63320_201008_12,Support to upgrade around 425 GP practices and health clinics across the country ñ so that GPs can expand their facilities and locate more services in a single community location.,504,,,"Better support for nurses working in GP and primary care, aged care and mental health; A national after hours GP service ñ with a 24 hour hotline that provides GP advice and can arrange a follow-up visit in your local community;",7
13,13,63320_201008_13,"Support for 2,500 additional aged care beds;",504,,,A national after hours GP service ñ with a 24 hour hotline that provides GP advice and can arrange a follow-up visit in your local community; Support to upgrade around 425 GP practices and health clinics across the country ñ so that GPs can expand their facilities and locate more services in a single community location.,7
14,14,63320_201008_14,A personally controlled electronic health record for every Australian that wants one;,504,,,"Support to upgrade around 425 GP practices and health clinics across the country ñ so that GPs can expand their facilities and locate more services in a single community location. Support for 2,500 additional aged care beds;",1
15,15,63320_201008_15,"new investments in prevention, including tough new action to tackle smoking; and",504,,,"Support for 2,500 additional aged care beds; A personally controlled electronic health record for every Australian that wants one;",6
16,16,63320_201008_16,"new investments in mental health services, with 20,000 extra young people per year to get assistance.",504,,,"A personally controlled electronic health record for every Australian that wants one; new investments in prevention, including tough new action to tackle smoking; and",7
17,17,63320_201008_17,The Government's National Health and Hospitals Network will be funded nationally and run locally.,504,,,"new investments in prevention, including tough new action to tackle smoking; and new investments in mental health services, with 20,000 extra young people per year to get assistance.",3
18,18,63320_201008_18,It will mean that Australian working families are no longer shunted from one system funded by the State Government to another funded by the Australian Government.,504,,,"new investments in mental health services, with 20,000 extra young people per year to get assistance. The Government's National Health and Hospitals Network will be funded nationally and run locally.",1
19,19,63320_201008_19,"Under this reform, the Australian Government will:",,,,The Government's National Health and Hospitals Network will be funded nationally and run locally. It will mean that Australian working families are no longer shunted from one system funded by the State Government to another funded by the Australian Government.,1
20,20,63320_201008_20,become the dominant funder of public hospitals - funding 60 per cent of the nationally efficient price of public hospital services for public patients;,504,,,"It will mean that Australian working families are no longer shunted from one system funded by the State Government to another funded by the Australian Government. Under this reform, the Australian Government will:",5
21,21,63320_201008_21,"fund 60 per cent of buildings, equipment, teaching and training costs in public hospitals;",504,,,"Under this reform, the Australian Government will: become the dominant funder of public hospitals - funding 60 per cent of the nationally efficient price of public hospital services for public patients;",7
22,22,63320_201008_22,takeover funding for GP and primary care;,504,,,"become the dominant funder of public hospitals - funding 60 per cent of the nationally efficient price of public hospital services for public patients; fund 60 per cent of buildings, equipment, teaching and training costs in public hospitals;",3
23,23,63320_201008_23,takeover funding for aged care.,504,,,"fund 60 per cent of buildings, equipment, teaching and training costs in public hospitals; takeover funding for GP and primary care;",1
24,24,63320_201008_24,"This new National Health and Hospitals Network will also give hardworking doctors and nurses more say in the way their local health and hospital services are run, through Local Hospital Networks and new primary health care organisations.",504,,,takeover funding for GP and primary care; takeover funding for aged care.,1
25,25,63320_201008_25,"Without essential reforms, spiralling health costs would have consumed entire revenue raised by states and territories.",0,,,"takeover funding for aged care. This new National Health and Hospitals Network will also give hardworking doctors and nurses more say in the way their local health and hospital services are run, through Local Hospital Networks and new primary health care organisations.",1
26,26,63320_201008_26,"To ensure the system's funding is sustainable into the future, the Labor Government will provide a minimum of $15.6 billion in top-up funds for public hospitals over the next decade.",504,,,"This new National Health and Hospitals Network will also give hardworking doctors and nurses more say in the way their local health and hospital services are run, through Local Hospital Networks and new primary health care organisations. Without essential reforms, spiralling health costs would have consumed entire revenue raised by states and territories.",7
27,27,63320_201008_27,"Taking action now will ensure we can manage the health challenges of the 21st Century, such as obesity and diabetes.",504,,,"Without essential reforms, spiralling health costs would have consumed entire revenue raised by states and territories. To ensure the system's funding is sustainable into the future, the Labor Government will provide a minimum of $15.6 billion in top-up funds for public hospitals over the next decade.",3
28,28,63320_201008_28,"Labor will make sure our health system can serve the needs of all Australians, no matter where they live, and irrespective of their income.",504,,,"To ensure the system's funding is sustainable into the future, the Labor Government will provide a minimum of $15.6 billion in top-up funds for public hospitals over the next decade. Taking action now will ensure we can manage the health challenges of the 21st Century, such as obesity and diabetes.",6
29,29,63320_201008_29,"We are committed to building a health system that, from the maternity ward to the aged care home, focuses on keeping people healthy and in their own homes and communities for as long as they desire, and ideally out of hospital.",504,,,"Taking action now will ensure we can manage the health challenges of the 21st Century, such as obesity and diabetes. Labor will make sure our health system can serve the needs of all Australians, no matter where they live, and irrespective of their income.",6
30,30,63320_201008_30,Some Key Achievements:,,,1.0,"Labor will make sure our health system can serve the needs of all Australians, no matter where they live, and irrespective of their income. We are committed to building a health system that, from the maternity ward to the aged care home, focuses on keeping people healthy and in their own homes and communities for as long as they desire, and ideally out of hospital.",1
31,31,63320_201008_31,We've increased hospitals funding by over 50 per cent.,504,,1.0,"We are committed to building a health system that, from the maternity ward to the aged care home, focuses on keeping people healthy and in their own homes and communities for as long as they desire, and ideally out of hospital. Some Key Achievements:",1
32,32,63320_201008_32,"We have taken action that has seen record number of Australians getting their elective surgery on time, with more than 76,000 elective surgery procedures delivered in the last two years and over 125 hospitals receiving new elective surgery equipment and operating theatres.",504,,1.0,Some Key Achievements: We've increased hospitals funding by over 50 per cent.,1
33,33,63320_201008_33,We are injecting $1.5 billion in public hospital emergency departments ñ this has already seen more than 35 emergency departments receive upgrades and will expand capacity to rollout a new four hour cap on emergency department waiting times.,504,,,"We've increased hospitals funding by over 50 per cent. We have taken action that has seen record number of Australians getting their elective surgery on time, with more than 76,000 elective surgery procedures delivered in the last two years and over 125 hospitals receiving new elective surgery equipment and operating theatres.",7
34,34,63320_201008_34,"We are expanding the number of hospital beds, with a record investment to build 1,300 new sub-acute hospital beds.",504,,,"We have taken action that has seen record number of Australians getting their elective surgery on time, with more than 76,000 elective surgery procedures delivered in the last two years and over 125 hospitals receiving new elective surgery equipment and operating theatres. We are injecting $1.5 billion in public hospital emergency departments ñ this has already seen more than 35 emergency departments receive upgrades and will expand capacity to rollout a new four hour cap on emergency department waiting times.",7
35,35,63320_201008_35,We are taking action to address dire workforce shortages - a legacy of the Howard Government.,504,,,"We are injecting $1.5 billion in public hospital emergency departments ñ this has already seen more than 35 emergency departments receive upgrades and will expand capacity to rollout a new four hour cap on emergency department waiting times. We are expanding the number of hospital beds, with a record investment to build 1,300 new sub-acute hospital beds.",1
36,36,63320_201008_36,"We are doubling the number of GP training places to 1,200 a year by 2014 and will fund training for over 1,000 new nurses each year.",504,,,"We are expanding the number of hospital beds, with a record investment to build 1,300 new sub-acute hospital beds. We are taking action to address dire workforce shortages - a legacy of the Howard Government.",7
37,37,63320_201008_37,We are delivering on our commitment to build 31 GP Super Clinics that locate a range of services in one convenient location ñ and have added an additional 5 communities that will benefit.,504,,,"We are taking action to address dire workforce shortages - a legacy of the Howard Government. We are doubling the number of GP training places to 1,200 a year by 2014 and will fund training for over 1,000 new nurses each year.",7
38,38,63320_201008_38,"We said we would build a health system to serve future generations, which is why we established the Health and Hospitals Fund to make long-term, inter-generational investments in our national health infrastructure.",504,,,"We are doubling the number of GP training places to 1,200 a year by 2014 and will fund training for over 1,000 new nurses each year. We are delivering on our commitment to build 31 GP Super Clinics that locate a range of services in one convenient location ñ and have added an additional 5 communities that will benefit.",6
39,39,63320_201008_39,This fund has invested $3. 2 billion in 32 projects around the country.,504,,,"We are delivering on our commitment to build 31 GP Super Clinics that locate a range of services in one convenient location ñ and have added an additional 5 communities that will benefit. We said we would build a health system to serve future generations, which is why we established the Health and Hospitals Fund to make long-term, inter-generational investments in our national health infrastructure.",7
40,40,63320_201008_40,We are investing $2 billion into building a world class cancer care system ñ including building regional cancer centres to make it easier for Australians to receive the care they need close to home.,504,,,"We said we would build a health system to serve future generations, which is why we established the Health and Hospitals Fund to make long-term, inter-generational investments in our national health infrastructure. This fund has invested $3. 2 billion in 32 projects around the country.",7
41,41,63320_201008_41,We have committed to closing the unacceptable life expectancy gap for Indigenous Australians within two generations and backed this up with an investment of $1. 6 billion in an Indigenous health national partnership,504,,,This fund has invested $3. 2 billion in 32 projects around the country. We are investing $2 billion into building a world class cancer care system ñ including building regional cancer centres to make it easier for Australians to receive the care they need close to home.,7
42,42,63320_201008_42,"We have delivered more than 850,000 dental check-ups to teenagers under the Medicare Teen Dental Plan.",504,,,We are investing $2 billion into building a world class cancer care system ñ including building regional cancer centres to make it easier for Australians to receive the care they need close to home. We have committed to closing the unacceptable life expectancy gap for Indigenous Australians within two generations and backed this up with an investment of $1. 6 billion in an Indigenous health national partnership,7
43,43,63320_201008_43,"We are providing more attractive incentives and retention bonuses for doctors to work in rural and regional Australia, because we know that these areas are the lifeblood of Australia.",504,,,"We have committed to closing the unacceptable life expectancy gap for Indigenous Australians within two generations and backed this up with an investment of $1. 6 billion in an Indigenous health national partnership We have delivered more than 850,000 dental check-ups to teenagers under the Medicare Teen Dental Plan.",6
44,44,63320_201008_44,"We have increased aged care places by more than 10,000 - including 838 new transitional care places to help up to 6,285 older Australians leave hospital sooner each year.",504,,,"We have delivered more than 850,000 dental check-ups to teenagers under the Medicare Teen Dental Plan. We are providing more attractive incentives and retention bonuses for doctors to work in rural and regional Australia, because we know that these areas are the lifeblood of Australia.",7
