,Oid,Id,Sentence,Flag,labels
0,0,63320_201309_0,Cutting Red Tape: Reducing the Burden of GST,1,1
1,1,63320_201309_1,The Rudd Labor Government will cut red tape for small and medium businesses by reducing the paperwork burden of the GST.,0,1
2,2,63320_201309_2,Federal Labor will reduce the number of times that small and medium businesses need to lodge GST returns from four times a year to just once.,0,1
3,3,63320_201309_3,Businesses with a GST turnover under $20 million a year will be allowed to lodge their Business Activity Statement (BAS) once a year from 1 July 2014.,0,1
4,4,63320_201309_4,This is a ten-fold increase from the current $2 million turnover threshold for annual lodgement.,0,1
5,5,63320_201309_5,"These businesses will be able to pay simple instalments based on GST paid in the previous year, and lodge an annual BAS at the end of the financial year to reconcile any difference.",0,1
6,6,63320_201309_6,This aligns GST more closely with the Pay As You Go income tax system and means businesses will no longer have to make complex GST calculations throughout the year.,0,1
7,7,63320_201309_7,Sports Technology Innovation Partnership,1,1
8,8,63320_201309_8,What are Australian Innovation Partnerships?,0,1
9,9,63320_201309_9,"Australian Innovation Partnerships are Federal Labor's new way of supporting Australian industry - placing industry in the driver's seat to coordinate Australian effort, grow Australian exports and jobs, and diversify our national economy.",0,1
10,10,63320_201309_10,"Beyond the China resources boom, we need to build a modern and diverse economy - so that we continue our 22 year record of growth and continue to provide the jobs Australians rely on.",0,1
11,11,63320_201309_11,Only Federal Labor has a plan to ensure a prosperous future.,0,1
12,12,63320_201309_12,"In the past, Australia has put too many of our eggs in the one basket.",0,1
13,13,63320_201309_13,We need a new way to diversify the Australian economy - building more strong industries and regions.,0,1
14,14,63320_201309_14,"The Innovation Partnerships provide a positive plan to grow jobs, boost productivity and give Australian businesses the competitive edge.",0,1
15,15,63320_201309_15,Cutting Red Tape: Superannuation Clearing House,1,1
16,16,63320_201309_16,The Rudd Labor Government will cut red tape for small businesses by extending the free small business superannuation clearing house to businesses with less than 100 employees from 1 July 2014.,0,1
17,17,63320_201309_17,This free service helps small businesses to save on time and paperwork by enabling them to pay their employees' superannuation to a single location in just one simple electronic transaction.,0,1
18,18,63320_201309_18,Why is this change necessary?,0,1
19,19,63320_201309_19,"The Rudd Labor Government has outlined a new national competitiveness agenda based on seven key elements, and we have made it a priority for all levels of government to reduce the regulatory impost on business.",0,1
20,20,63320_201309_20,This is a practical measure that will provide real support for small businesses to free them up from regulatory imposts so they can focus on growing their businesses.,0,1
21,21,63320_201309_21,"Since its launch in 2010 by the Rudd Labor Government for business with less than 20 employees, the small business clearing house has been a resounding success.",0,1
22,22,63320_201309_22,McKeon Research Package,1,1
23,23,63320_201309_23,Investing in health and medical research is vital to improving our health and quality of life.,0,1
24,24,63320_201309_24,A thriving health and medical research sector also generates high tech jobs.,0,1
25,25,63320_201309_25,"Federal Labor understands the value of this sector and that is why in May 2011, the Federal Labor Government announced a major independent review of health and medical research in Australia, Better Health Through Research (The McKeon Review).",0,1
26,26,63320_201309_26,The Review's 21 recommendations lay out a ten year vision for better health and economic prosperity through health and medical research.,0,1
27,27,63320_201309_27,The Review found that Australia has one of the world's best performing health systems.,0,1
28,28,63320_201309_28,The Review argues that we must embed health and medical research into all aspects of the health system.,0,1
29,29,63320_201309_29,This is because health services conducting research deliver better health outcomes for patients.,0,1
30,30,63320_201309_30,"As the centrepiece of our initial response to the Review, Federal Labor will establish a Medical Research Innovation Fund (MRIF) to provide capital for early stage development of innovative biotechnology ventures.",0,1
31,31,63320_201309_31,Too many good ideas fail to make it past the conceptual stage because of lack of finance.,0,1
32,32,63320_201309_32,The MRIF will bridge this gap by investing $125 million of public funding matched to $125 million of private sector funding.,0,1
33,33,63320_201309_33,Cutting Red Tape: Paid Parental Leave Payments,1,1
34,34,63320_201309_34,The Rudd Labor Government will enable businesses with fewer than 20 employees to streamline administration of our successful Paid Parental Leave (PPL) scheme.,0,1
35,35,63320_201309_35,Small businesses will be able to have Centrelink make PPL payments to their employees whilst they are on parental leave.,0,1
36,36,63320_201309_36,This will slash red tape and compliance costs for small businesses.,0,1
37,37,63320_201309_37,Those small businesses that wish to stay connected with their staff will still be able to opt-in if that meets their needs.,0,1
38,38,63320_201309_38,Why is this change necessary?,0,1
39,39,63320_201309_39,"The Rudd Labor Government has listened to business, and understands that in the current economic environment small businesses need to be able to devote their scarce time on adapting to thrive as our economy transitions away from the China mining boom.",0,1
40,40,63320_201309_40,The Rudd Labor Government's PPL scheme is designed to be simple for employers.,0,1
41,41,63320_201309_41,The recent evaluation of the scheme found that most employers have found their role straightforward and easy.,0,1
42,42,63320_201309_42,"At the same time, the Rudd Labor Government recognises that some small businesses want the option of having their PPL payments managed by Centrelink.",0,1
43,43,63320_201309_43,$15 Million for Cancer Care Nurse Coordinators,1,1
44,44,63320_201309_44,"The Federal Labor Government will fund 34 Cancer Care Nurse Coordinators to ensure rural patients diagnosed with cancer are provided with vital information, care and support, as well as access and referral to specialists and services, and continuity of care.",0,1
45,45,63320_201309_45,This is a $15.1 million dollar investment.,0,1
46,46,63320_201309_46,"The Cancer Care Coordinators will provide support and education patients who have been diagnosed with cancer, their families, carers and staff.",0,1
47,47,63320_201309_47,Services may include:,1,1
48,48,63320_201309_48,Providing information about the illness and treatment options.,0,6
49,49,63320_201309_49,Facilitating patients' contact with community supports and resources.,0,1
50,50,63320_201309_50,Help patients with accessing cancer services.,0,1
51,51,63320_201309_51,Ongoing support for patients and their families.,0,1
52,52,63320_201309_52,Providing expertise in chemotherapy administration and management.,0,1
53,53,63320_201309_53,"Cancer Care Nurse Coordinators will be employed by state and territory governments, but funded by the Commonwealth.",0,1
