,oid,Id,sentence,Flag,context,party,year,incumbent,labels
0,0,63620_198010_0,Five years ago we committed Australia to a new sense of direction and national purpose,1,,Liberal,1980,Liberal,1
1,1,63620_198010_1,We have fulfilled that commitment.,1,Five years ago we committed Australia to a new sense of direction and national purpose,Liberal,1980,Liberal,1
2,2,63620_198010_2,Five years ago we pledged ourselves to recharge the nation's capacity.,1,Five years ago we committed Australia to a new sense of direction and national purpose We have fulfilled that commitment.,Liberal,1980,Liberal,1
3,3,63620_198010_3,We have fulfilled that pledge.,1,We have fulfilled that commitment. Five years ago we pledged ourselves to recharge the nation's capacity.,Liberal,1980,Liberal,1
4,4,63620_198010_4,And let us never forget that five years ago the confidence and optimism of Australians had been shattered.,1,Five years ago we pledged ourselves to recharge the nation's capacity. We have fulfilled that pledge.,Liberal,1980,Liberal,1
5,5,63620_198010_5,"Today, a new spirit, a new enthusiasm, a new dynamism, is at work in Australia.",1,We have fulfilled that pledge. And let us never forget that five years ago the confidence and optimism of Australians had been shattered.,Liberal,1980,Liberal,1
6,6,63620_198010_6,"In an often troubled and dangerous world, here we are at the gateway of a new decade much better placed than many overseas countries.",1,"And let us never forget that five years ago the confidence and optimism of Australians had been shattered. Today, a new spirit, a new enthusiasm, a new dynamism, is at work in Australia.",Liberal,1980,Liberal,1
7,7,63620_198010_7,- A new confidence is alive in Australia's men and women.,1,"Today, a new spirit, a new enthusiasm, a new dynamism, is at work in Australia. In an often troubled and dangerous world, here we are at the gateway of a new decade much better placed than many overseas countries.",Liberal,1980,Liberal,1
8,8,63620_198010_8,- Our financial position is the envy of many industrialised countries.,1,"In an often troubled and dangerous world, here we are at the gateway of a new decade much better placed than many overseas countries. - A new confidence is alive in Australia's men and women.",Liberal,1980,Liberal,1
9,9,63620_198010_9,- Business expectations are high.,1,- A new confidence is alive in Australia's men and women. - Our financial position is the envy of many industrialised countries.,Liberal,1980,Liberal,1
10,10,63620_198010_10,- the optimism of overseas investors has been restored.,1,- Our financial position is the envy of many industrialised countries. - Business expectations are high.,Liberal,1980,Liberal,1
11,11,63620_198010_11,- Manufacturing exports are growing strongly.,1,- Business expectations are high. - the optimism of overseas investors has been restored.,Liberal,1980,Liberal,1
12,12,63620_198010_12,- Last year rural exports were the highest for the decade.,1,- the optimism of overseas investors has been restored. - Manufacturing exports are growing strongly.,Liberal,1980,Liberal,1
13,13,63620_198010_13,"- Last year, Our balance of trade was the best result for the decade.",1,- Manufacturing exports are growing strongly. - Last year rural exports were the highest for the decade.,Liberal,1980,Liberal,1
14,14,63620_198010_14,- This year we achieved the best employment growth for ten years.,1,"- Last year rural exports were the highest for the decade. - Last year, Our balance of trade was the best result for the decade.",Liberal,1980,Liberal,1
15,15,63620_198010_15,"- And under the Fraser-Anthony Government, Australia has won A respected place in world affairs.",1,"- Last year, Our balance of trade was the best result for the decade. - This year we achieved the best employment growth for ten years.",Liberal,1980,Liberal,1
16,16,63620_198010_16,"And while achieving all this, we have enhanced the dignity and self-esteem of those in need.",1,"- This year we achieved the best employment growth for ten years. - And under the Fraser-Anthony Government, Australia has won A respected place in world affairs.",Liberal,1980,Liberal,1
17,17,63620_198010_17,Australia is the best place in the world to bring up a family.,1,"- And under the Fraser-Anthony Government, Australia has won A respected place in world affairs. And while achieving all This, we have enhanced the dignity And self-esteem of those in need.",Liberal,1980,Liberal,1
18,18,63620_198010_18,And we are going to keep it that way.,1,"And while achieving all this, we have enhanced the dignity and self-esteem of those in need. Australia is the best place in the world to bring up a family.",Liberal,1980,Liberal,1
19,19,63620_198010_19,But what has taken us five years to build can easily be destroyed.,1,Australia is the best place in the world to bring up a family. And we are going to keep it that way.,Liberal,1980,Liberal,1
20,20,63620_198010_20,Do we want our dreams of the future to be turned into another Labor nightmare?,1,And we are going to keep it that way. But what has taken us five years to build can easily be destroyed.,Liberal,1980,Liberal,1
21,21,63620_198010_21,Can we trust our hard-won victories to the Labor Party?,1,But what has taken us five years to build can easily be destroyed. Do we want our dreams of the future to be turned into another Labor nightmare?,Liberal,1980,Liberal,1
22,22,63620_198010_22,CHALLENGES.,1,Do we want our dreams of the future to be turned into another Labor nightmare? Can we trust our hard-won victories to the Labor Party?,Liberal,1980,Liberal,1
23,23,63620_198010_23,"Tonight, I want to talk to you about the challenges and opportunities that lie before us.",1,Can we trust our hard-won victories to the Labor Party? CHALLENGES.,Liberal,1980,Liberal,1
24,24,63620_198010_24,"First, we must maintain responsibility in economic affairs because, without that, all else fails.",0,"CHALLENGES. Tonight, I want to talk to you about the challenges and opportunities that lie before us.",Liberal,1980,Liberal,1
25,25,63620_198010_25,"Second, we must harness this nation's resources in a co-ordinated and responsible programme of national development.",0,"Tonight, I want to talk to you about the challenges and opportunities that lie before us. First, we must maintain responsibility in economic affairs because, without that, all else fails.",Liberal,1980,Liberal,1
26,26,63620_198010_26,"Third, we must see that from the prosperity we generate, we provide adequately for those in need.",0,"First, we must maintain responsibility in economic affairs because, without that, all else fails. Second, we must harness this nation's resources in a co-ordinated and responsible programme of national development.",Liberal,1980,Liberal,1
27,27,63620_198010_27,"Fourth, as individuals and as a nation, we must encourage ability and cultivate excellence.",0,"Second, we must harness this nation's resources in a co-ordinated and responsible programme of national development. Third, we must see that from the prosperity we generate, we provide adequately for those in need.",Liberal,1980,Liberal,1
28,28,63620_198010_28,"And finally, in a world where there is conflict, division and illusion, we must guide Australia safely through the difficulties and the dangers.",0,"Third, we must see that from the prosperity we generate, we provide adequately for those in need. Fourth, as individuals and as a nation, we must encourage ability and cultivate excellence.",Liberal,1980,Liberal,1
29,29,63620_198010_29,FIRST CHALLENGE: RESPONSIBLE ECONOMIC MANAGEMENT.,1,"Fourth, as individuals and as a nation, we must encourage ability and cultivate excellence. And finally, in a world where there is conflict, division and illusion, we must guide Australia safely through the difficulties and the dangers.",Liberal,1980,Liberal,1
