,oid,Id,sentence,Flag,Context,labels
0,0,63620_199003_0,OUR PRIORITIES.,1.0,,1
1,1,63620_199003_1,"In the past few years, Australia has become a ship without a rudder.",1.0,OUR PRIORITIES.,1
2,2,63620_199003_2,"The problem is not that our nation lacks resources, for we have them in abundance.",1.0,"OUR PRIORITIES. In the past few years, Australia has become a ship without a rudder.",1
3,3,63620_199003_3,"Our problem is not our people, for they stand amongst the best in the world.",1.0,"In the past few years, Australia has become a ship without a rudder. The problem is not that our nation lacks resources, for we have them in abundance.",1
4,4,63620_199003_4,"Our problem is not our political System, which is mature and stable.",1.0,"The problem is not that our nation lacks resources, for we have them in abundance. Our problem is not our people, for they stand amongst the best in the world.",1
5,5,63620_199003_5,Yet we are dogged by crisis and beset by difficulties.,1.0,"Our problem is not our people, for they stand amongst the best in the world. Our problem is not our political System, which is mature and stable.",1
6,6,63620_199003_6,"The fundamental truth is that our physical, human and financial resources are not being used in the most effective manner.",1.0,"Our problem is not our political System, which is mature and stable. Yet we are dogged by crisis and beset by difficulties.",1
7,7,63620_199003_7,Australia's problems are felt every day by Australian families in ever larger bills and ever smaller pay-packets.,1.0,"Yet we are dogged by crisis and beset by difficulties. The fundamental truth is that our physical, human and financial resources are not being used in the most effective manner.",1
8,8,63620_199003_8,Those who have been hit the hardest are those who can least afford it: especially families trying to raise children and buy their own home.,1.0,"The fundamental truth is that our physical, human and financial resources are not being used in the most effective manner. Australia's problems are felt every day by Australian families in ever larger bills and ever smaller pay-packets.",1
9,9,63620_199003_9,The past few years have seen Australia become less internationally competitive.,1.0,Australia's problems are felt every day by Australian families in ever larger bills and ever smaller pay-packets. Those who have been hit the hardest are those who can least afford it: especially families trying to raise children and buy their own home.,1
10,10,63620_199003_10,The deficit on our current account - the difference between what we import and what we export - is growing.,1.0,Those who have been hit the hardest are those who can least afford it: especially families trying to raise children and buy their own home. The past few years have seen Australia become less internationally competitive.,1
11,11,63620_199003_11,The inflation rate is far too high.,1.0,The past few years have seen Australia become less internationally competitive. The deficit on our current account - the difference between what we import and what we export - is growing.,1
12,12,63620_199003_12,Australia is going backwards.,1.0,The deficit on our current account - the difference between what we import and what we export - is growing. The inflation rate is far too high.,1
13,13,63620_199003_13,Australia's gross external indebtedness is now almost $150 billion.,1.0,The inflation rate is far too high. Australia is going backwards.,1
14,14,63620_199003_14,The external debt is Labor's legacy to the next generation of Australians.,1.0,Australia is going backwards. Australia's gross external indebtedness is now almost $150 billion.,1
15,15,63620_199003_15,If there is no change of policies the next generation of Australians will be the first to face a lower standard of living than their parents.,1.0,Australia's gross external indebtedness is now almost $150 billion. The external debt is Labor's legacy to the next generation of Australians.,1
16,16,63620_199003_16,Our productivity growth is virtually zero.,1.0,The external debt is Labor's legacy to the next generation of Australians. If there is no change of policies the next generation of Australians will be the first to face a lower standard of living than their parents.,1
17,17,63620_199003_17,"Rather than increase the flexibility of the workforce, the Hawke Government has imposed a regulatory strait-jacket in the form of its 'Accord' with the ACTU.",1.0,If there is no change of policies the next generation of Australians will be the first to face a lower standard of living than their parents. Our productivity growth is virtually zero.,1
18,18,63620_199003_18,It is denying Australians the opportunity to earn more if they work efficiently.,1.0,"Our productivity growth is virtually zero. Rather than increase the flexibility of the workforce, the Hawke Government has imposed a regulatory strait-jacket in the form of its 'Accord' with the ACTU.",1
19,19,63620_199003_19,The Hawke Government has been in power for the past seven years.,1.0,"Rather than increase the flexibility of the workforce, the Hawke Government has imposed a regulatory strait-jacket in the form of its 'Accord' with the ACTU. It is denying Australians the opportunity to earn more if they work efficiently.",1
20,20,63620_199003_20,It is responsible for the present crisis.,1.0,It is denying Australians the opportunity to earn more if they work efficiently. The Hawke Government has been in power for the past seven years.,1
21,21,63620_199003_21,Labor has made things worse in three ways.,1.0,The Hawke Government has been in power for the past seven years. It is responsible for the present crisis.,1
22,22,63620_199003_22,"First, it has deliberately pursued a high interest rate policy as the main instrument of its economic policy.",1.0,It is responsible for the present crisis. Labor has made things worse in three ways.,1
23,23,63620_199003_23,It has given up on fighting inflation and cutting wasteful government spending.,1.0,"Labor has made things worse in three ways. First, it has deliberately pursued a high interest rate policy as the main instrument of its economic policy.",1
24,24,63620_199003_24,"Second, the role of government under Labor has increased while the freedom of the individual has diminished.",1.0,"First, it has deliberately pursued a high interest rate policy as the main instrument of its economic policy. It has given up on fighting inflation and cutting wasteful government spending.",1
25,25,63620_199003_25,"Initiative, incentive, and innovation have been crippled by government intervention, and success has been penalized rather than rewarded.",1.0,"It has given up on fighting inflation and cutting wasteful government spending. Second, the role of government under Labor has increased while the freedom of the individual has diminished.",1
26,26,63620_199003_26,"Third, the Hawke Government has provided the trade union leadership and some other special interests with favors and a veto over government decisions.",1.0,"Second, the role of government under Labor has increased while the freedom of the individual has diminished. Initiative, incentive, and innovation have been crippled by government intervention, and success has been penalized rather than rewarded.",1
27,27,63620_199003_27,The Hawke Government has undermined the integrity of our political System.,1.0,"Initiative, incentive, and innovation have been crippled by government intervention, and success has been penalized rather than rewarded. Third, the Hawke Government has provided the trade union leadership and some other special interests with favors and a veto over government decisions.",1
28,28,63620_199003_28,"A government should govern for all, but the Hawke Government's method is to make deals with 'mates'.",1.0,"Third, the Hawke Government has provided the trade union leadership and some other special interests with favors and a veto over government decisions. The Hawke Government has undermined the integrity of our political System.",1
29,29,63620_199003_29,It is the politics of expediency.,1.0,"The Hawke Government has undermined the integrity of our political System. A government should govern for all, but the Hawke Government's method is to make deals with 'mates'.",1
30,30,63620_199003_30,It is a Government for special interests rather than the national interest.,1.0,"A government should govern for all, but the Hawke Government's method is to make deals with 'mates'. It is the politics of expediency.",1
31,31,63620_199003_31,It is not simply that the Hawke Government has governed our nation badly.,1.0,It is the politics of expediency. It is a Government for special interests rather than the national interest.,1
32,32,63620_199003_32,Labor has reached a dead-end.,1.0,It is a Government for special interests rather than the national interest. It is not simply that the Hawke Government has governed our nation badly.,1
33,33,63620_199003_33,It will not take the steps that are necessary for Australia's recovery.,1.0,It is not simply that the Hawke Government has governed our nation badly. Labor has reached a dead-end.,1
34,34,63620_199003_34,"It cannot: its mates, especially the trade union leadership have, time and time again, stifled key economic reforms.",1.0,Labor has reached a dead-end. It will not take the steps that are necessary for Australia's recovery.,1
35,35,63620_199003_35,"Labor is out of touch, out of ideas, out of willpower, and out of time.",1.0,"It will not take the steps that are necessary for Australia's recovery. It cannot: its mates, especially the trade union leadership have, time and time again, stifled key economic reforms.",1
36,36,63620_199003_36,In the past seven years Australia has gone backwards; but now all Labor offers is more of the same.,1.0,"It cannot: its mates, especially the trade union leadership have, time and time again, stifled key economic reforms. Labor is out of touch, out of ideas, out of willpower, and out of time.",1
37,37,63620_199003_37,The Liberal Party does not believe that decline is inevitable.,,"Labor is out of touch, out of ideas, out of willpower, and out of time. In the past seven years Australia has gone backwards; but now all Labor offers is more of the same.",1
38,38,63620_199003_38,The pattern of decline can be reversed.,1.0,In the past seven years Australia has gone backwards; but now all Labor offers is more of the same. The Liberal Party does not believe that decline is inevitable.,1
39,39,63620_199003_39,A prosperous and secure future can be built Australia can compete - but only if our economy is restructured to meet the competitive pressures we now face.,1.0,The Liberal Party does not believe that decline is inevitable. The pattern of decline can be reversed.,1
40,40,63620_199003_40,"Our priorities in government will be :  (1) To strengthen the Australian family as the center of society and as the focus of government policy, and to recognize the additional costs of raising children.",,The pattern of decline can be reversed. A prosperous and secure future can be built Australia can compete - but only if our economy is restructured to meet the competitive pressures we now face.,1
