,OID,Id,sentence,Flag,labels
0,1,63620_199810_1,The 1998 Federal Election presents Australians with a clear and vital choice:,1,1
1,2,63620_199810_2,- it is a choice between competent economic management under the Coalition Government and a return to the days of Labor’s economic incompetence,1,1
2,3,63620_199810_3,"- the days of high debt, high deficits and high interest rates;",1,1
3,4,63620_199810_4,"- it is a choice between building further on the foundation of sound economic fundamentals under the Coalition Government, or frittering away once gain under Labor the advantages which Australia has gained from the restoration of those sound fundamentals over the past two and a half years;",1,1
4,5,63620_199810_5,"- it is a choice between optimistic realism under a Coalition Government, or backward-looking inertia under Labor;",1,1
5,6,63620_199810_6,- it is a choice between the Coalition Government with a comprehensive plan to maximise Australia’s potential as a nation in the twenty first century and Labor’s head-in-the-sand approach which refuses to face up to the realities of Australia’s circumstances and which has no strategy for taking Australia forward in an increasingly competitive world;,1,1
6,7,63620_199810_7,"- it is a choice between the Coalition Government’s plan to slash business costs by over $10b, thereby boosting jobs, growth and exports, and Labor’s refusal to develop any such plan which will only make it increasingly harder for our businesses to compete against the rest of the world and to employ more Australians;",1,1
7,8,63620_199810_8,"- it is a choice between a Coalition Government with the courage to confront reality and spell out its future strategy to the Australian people, and a Labor Opposition which tries to pretend that nothing needs to be done beyond spending more money but which, if elected in 1998, will repeat what it did after the 1993 Election - namely, to renege on tax eut promises and increase tax rates;",1,1
8,9,63620_199810_9,- it is a choice between a Coalition Government which balances fairness and incentive and a Labor Opposition obsessed with the self-defeating politics of envy;,1,1
9,10,63620_199810_10,A STRONGER AUSTRALIA.,1,1
10,11,63620_199810_11,"- it is a choice between the Coalition Government’s initiatives to strengthen the capacity of Australian enterprises to compete in export markets by removing $4.5b of costs on Australian exports, and Labor’s policies which will force Australian enterprises to compete in export markets and against imports with one hand tied behind their backs;",1,1
11,12,63620_199810_12,"- it is a choice between the Coalition Government’s plan to provide the States and Territories with an adequate and secure revenue base to fund health, education, law and order and other essential government services in the future, and a Labor Opposition with no such plan and no provision for such services into the future;",1,1
12,13,63620_199810_13,"- it is a choice between a reduction under a Coalition Government of $3.5b in the cost of fuel to ail businesses, with particular advantages for rural and regional Australia, and Labor which would provide no such reduction;",1,1
13,14,63620_199810_14,"- it is a choice between the Coalition Government’s comprehensive strategy to enhance the social and economic security of Australians, and a Labor Opposition which is ail talk and no substance on the issue;",1,1
14,15,63620_199810_15,"- it is a choice between a future under a Coalition Government in which government does not get out of people’s lives but in which it gets off their backs, and a future under Labor in which suffocating centralised controls are restored, choice is diminished and incentive is stifled;",1,1
15,16,63620_199810_16,"- it is a choice between a Coalition Government which believes strongly in the principle of mutual obligation in our society and the value of programmes such as Work for the Dole, and Labor which is committed to gutting such programmes;",1,1
16,17,63620_199810_17,"and - it is a choice between a Coalition Government which has boosted Australia’s international influence through the strengthening of our domestic economy and through constructive and realistic engagement with the countries of our own region as well as those beyond it, and a retum to Labor’s arrogant hectoring system of diplomacy that fails to take proper account of Australia’s real interests and our capacity to achieve results.",1,1
