,Od,Id,Sentence,Flag,labels
0,1,63620_200111_1,"Peter Costello, Chris McDiven, my parliamentary colleagues and my fellow Australians.",1.0,1
1,2,63620_200111_2,"This campaign, more than any other that I have been involved in, is very much about the future of the Australia we know and the Australia we love so much.",1.0,1
2,3,63620_200111_3,"The one single, irrefutable question that must be asked and answered by the Australian people on the 10th of November is who is better able to lead Australia over the next three years into difficult, challenging but times and circumstances which ought not to be daunting.",1.0,1
3,4,63620_200111_4,And in making that judgement they must do three things; they must examine what we have done and not done over the last five and a half years and they should examine what the Labor Party has done and not done over the last five and a half years.,1.0,1
4,5,63620_200111_5,They must also ask themselves who is better able to lead this country in the dangerously different strategic and economic circumstances in which the country now finds itself.,1.0,1
5,6,63620_200111_6,And finally they must make a judgement about the plans and the hopes and the aspirations that we have and our opponents have for the future of Australia.,1.0,1
6,7,63620_200111_7,I will turn in a moment to some of the things that will influence the judgement about us over the last five and a half years.,1.0,1
7,8,63620_200111_8,But first I want to talk a little about the many plans we have about the future of this country.,,1
8,9,63620_200111_9,And I intend to announce in the course of that presentation a number of new initiatives which deal with essential areas of Australian life.,,3
9,10,63620_200111_10,We all know that Australia is the best country in the world in which to live.,1.0,1
10,11,63620_200111_11,Our aim over the next three years is to make it an even better country in which to live.,,2
11,12,63620_200111_12,"We know that in the process of doing that we will face some unexpected difficulties, that's the challenge.",,1
12,13,63620_200111_13,But the good news is that because of the great work that we have done over the last five and a half years this country is better placed than most to deal with a stagnating world economy.,1.0,1
13,14,63620_200111_14,This nation is stronger and better prepared to withstand the impact of that.,1.0,1
14,15,63620_200111_15,And over the last year we have announced plans that will come into effect over the next three years that will add immeasurably to the strength and the resilience of Australian society and the Australian economy.,,2
15,16,63620_200111_16,"In the important area of defense alone, our defense white paper has made the greatest ever additional provision for the future defense needs of Australia of any government in more than a quarter of a century.",,1
16,17,63620_200111_17,Over the next ten years we will invest an additional $32 billion in the defense of Australia.,,7
17,18,63620_200111_18,"And how proud I am to say to you that when we came into government in March of 1996 and we found not withstanding what Mr.Beazley had told us during the election campaign that our budget was $10.5 billion in deficit, that we'd accumulated as a nation $96 billion of federal government debt, the one restriction I put on Peter Costello and John Fahey in getting the budget in shape was you will not cut any money out of defense.",1.0,1
18,19,63620_200111_19,"And not only didn't we cut any money out of defense we in fact increased defense expenditure, and just as well because in that five and a half year period we've had the demands of East Timor, of Bougainville, and now the commitment to the war against terrorism which is as much our war and our fight and our struggle as it is for the people of the United States.",,1
19,20,63620_200111_20,"We've heard a great deal from the Labor Party about science and innovation or `noodle nation' or `knowledge nation', whatever description you choose, they've talked about it, we have done something about it.",1.0,1
20,21,63620_200111_21,"Over the next few years our $3 billion science and innovation plan unveiled at the beginning of this year, which is the greatest ever single provision for science, technology and innovation made by any Australian Government.",,7
21,22,63620_200111_22,"It's going to double research grants, it's going to add thousands of more places to Australian universities, it's going to endow centers of excellence, it is going to, through the Federation Fellowships, it is going to bring back and retain the brightest and the best of our scientific minds and it's going to continue to allow this nation to do something it has always done and that is to punch above its weight in the area of science and research.",,5
22,23,63620_200111_23,"And the good news is that that plan is up and running, it is being implemented and over the next three years the full measure of the value of that policy launched at the beginning of this year will become apparent to the Australian people.",,6
23,24,63620_200111_24,"In the area of welfare reform, over the next term we'll invest $1. 7 billion to reform Australia's welfare system.",,7
