,Id,Sentence,Flag,labels
0,0,I want first of all to say how proud I am to be delivering this speech on behalf of a great and strong and enduring Coalition between the Liberal Party and the National Party.,0,1
1,1,"Our two great parties have shared 11 and a half years in office and we have fought for the best interests of the Australian people, wherever they might live, and the speeches you heard earlier from Peter Costello and from Mark Vaile represent the great talent and the great strength of the team that I lead.",0,1
2,2,"There are many things that distinguish the Coalition from the Labor Party, but none is more dramatic than the strength of the Coalition team.",0,1
3,3,"It's a blend of the experience of myself and Peter and Alexander who've held our positions for 11 and a half years and the great contribution of three successive National Party leaders in Tim Fischer, John Anderson and Mark Vaile, and then in recent times the great contribution being made by new faces in important areas of responsibility and I can think of none better than that because I'm here in Queensland than the great contribution that Mal Brough has made as Minister for Indigenous Affairs.",0,1
4,4,"I want to talk to you today, my fellow Australians, about the years ahead of us.",0,1
5,5,"This election is about the future of our great nation, not the past, great though that past is, important and treasured it is as it is to all of us, but this is really about the future of our nation and I want to tell you why I believe the Coalition should be returned.",0,1
6,6,I want to tell you why I want to be Prime Minister of this country again.,0,1
7,7,"I want to share with you my hopes and my dreams for a better future and in the process I hope crystallise very clearly the important choice that must be made on the 24th of November, a choice given new and greater urgency and intensity because of some of the rising challenges on the economic front, both domestically and from abroad.",0,1
8,8,I want to be Prime Minister again so that we can build an even stronger and greater Australia.,0,3
9,9,We in the Coalition believe that the best years of this nation lie ahead.,0,2
10,10,I want to complete the transition of this nation from a welfare state to an opportunity society.,0,3
11,11,I want to pursue with relentless vigour the goal of full employment.,0,3
12,12,Only the Liberal and National Parties talk about jobs for Australians anymore.,0,1
13,13,"Our opponents have given up talking about jobs, except the jobs of the union bosses in a future Labor government.",0,1
14,14,"I want to keep inflation low, I know that Australian families want to do more than just get by on their pay packets, they want to get ahead.",0,5
15,15,The Coalition wants to keep taxes as low as possible.,0,1
16,16,"Peter Costello and I unveiled a bold plan - five days later, 91.5 per cent of course was adopted by the Australian Labor Party - a bold plan to cut taxes and to encourage Australians to work harder and to re-enter the workforce.",0,1
17,17,I want to be Prime Minister again to carry forward my principles and those of the Coalition on education.,0,3
18,18,"Australia does not need an education revolution, whatever on earth that might mean; Australia needs an education system that teaches its children to read, to write, to spell and to add up as well as sharing all the technological enhancements that are part of the great learning experience.",0,5
19,19,"I want to be Prime Minister again to continue my unconditional, my uncompromising and my unrelenting opposition to the scourge of illicit drug-taking in our nation.",0,4
20,20,"Under the Coalition, we will always have a zero tolerance attitude towards drug-taking.",0,2
21,21,"We seek your mandate to maintain the strength of Australia, to maintain the strength of our alliances, to continue the protection of our borders, to continue to decide who comes to this nation, to continue the great duality of Australian foreign policy over the last 11 and a half years where we have built ever closer relations with our Asian neighbours, yet still remain the great friends and allies of the United States and our other traditional friends.",0,2
22,22,We want your support and your votes and your mandate to get the balance right on climate change.,0,3
23,23,"We need to have a lower carbon future, but we need to do it in a way that does not destroy jobs, does not weaken the great coal industry which is so important to the state of Queensland and ensures importantly that all nations of the world pull their weight and play their part in contributing to a reduction in greenhouse gas emissions.",0,1
24,24,I want to make sure in the future that this is a compassionate nation as well as a prosperous nation.,0,2
25,25,I want us to share the benefits of our prosperity to all of those who might otherwise feel excluded.,0,1
26,26,"I want rural Australia, our beloved bush, to be an enduring part of the fabric of this nation not only economically but socially.",0,2
27,27,"I've said before and I'm proud to say it again, I can't imagine an Australian nation without the bush being an integral part of what it means to be an Australian.",0,1
28,28,"We in the Coalition want a health system that is more responsive to the needs of families and to local communities and finally, I want to be Prime Minister again so that we can achieve a lasting recognition in our constitution of the first Australians, the indigenous people of this country.",0,4
29,29,The Northern Territory intervention has been a veritable watershed in the history of this country.,0,1
30,30,"It has brought an end to 20 to 30 years of failure in the area of indigenous policy, and it offers us the great thing that indigenous people need and that is the opportunity, whilst preserving their special place in the affections and the history of our nation, the opportunity to share its bounty by becoming part of the mainstream of the Australian community.",0,1
31,31,"Ladies and gentlemen, I've tried in my own words to express to my fellow Australians why it is I'd like you to support the Coalition and why it is I'd like to be Prime Minister of this great country again.",0,1
32,32,"We do have a bright future, but that's not something that can be taken for granted.",0,1
33,33,"There are stormclouds gathering on the horizon when it comes to economic management, and if we get it wrong, the prosperity we've enjoyed over the last 11 and a half years can be severely compromised.",0,2
34,34,"If we elect the wrong people, if we put the Government of this country in the hands of a Ministry 70 per cent of whose members will be former trade union officials, if we choose a Party, the Australian Labor Party that has spent the last ten months smothering all the beliefs and ideals and values it once argued, and turn our backs on the tried and true policies of experience and strength that have brought us the prosperity we now enjoy, our future could be very seriously compromised indeed.",0,1
