,Oid,Id,sentence,Flag,labels
0,0,63620_201607_0,"In this very uncertain world, Australia needs political stability and a strong economic plan for jobs and families.",0,2
1,1,63620_201607_1,Australia is transitioning from the mining construction boom to a new and more diverse economy.,0,1
2,2,63620_201607_2,The Coalition's Plan for a Strong New Economy is supporting this transition.,0,1
3,3,63620_201607_3,"Our Plan will provide growth, jobs and a secure future for Australian families.",0,2
4,4,63620_201607_4,A Strong New Economy.,1,1
5,5,63620_201607_5,"In this very uncertain world, Australia needs a strong economic plan for jobs and families.",0,1
6,6,63620_201607_6,"Australia is transitioning from the mining construction boom to a new and more diverse economy - fuelled by innovation, the opening of new markets and more investment in Australian enterprise.",0,1
7,7,63620_201607_7,The Coalition's Plan for a Strong New Economy is supporting this transition.,0,3
8,8,63620_201607_8,"Our Plan will provide growth, jobs and a secure future for Australian families through:",0,3
9,9,63620_201607_9,An innovation and science programme†bringing more great Australian ideas to market.,0,6
10,10,63620_201607_10,Providing tax incentives to invest in start-up businesses.,0,6
11,11,63620_201607_11,"And helping prepare our children for the jobs of the future by boosting participation in science, technology, engineering and maths (STEM).",0,6
12,12,63620_201607_12,"A defence industry plan†that will secure the nation and supports innovative Australian companies, local advanced manufacturing and hi-tech jobs, particularly in regional Australia.",0,1
13,13,63620_201607_13,"Export trade deals†to generate new business opportunities, give our farmers a competitive edge and open doors into expanding markets for our service industries.",0,5
14,14,63620_201607_14,Tax cuts and incentives for small businesses and hard working families.,0,1
15,15,63620_201607_15,A sustainable budget with crackdowns on tax avoidance and loopholes.,0,1
16,16,63620_201607_16,"Guaranteed funding for health, education and roads.",0,1
17,17,63620_201607_17,The restoration of the rule of law in the construction industry†by re-establishing the Australian Building and Construction Commission.,0,1
18,18,63620_201607_18,We are restoring honesty and fairness to the workplace relations system.,0,2
19,19,63620_201607_19,Our Plan will deliver the benefits of a growing economy and a better community to all Australians.,0,5
20,20,63620_201607_20,"Our Plan will deliver a strong new economy with more than 200,000 new jobs for Australian workers.",0,5
21,21,63620_201607_21,Our Economic Plan is seeing results:,0,1
22,22,63620_201607_22,The Australian economy is growing at 3% a year - faster than any of the G7 economies.,0,1
23,23,63620_201607_23,"Around 300,000 new jobs were created last year, the strongest growth in employment since 2007.",0,1
24,24,63620_201607_24,But there is more work to do to continue the successful transition of our economy.,0,1
25,25,63620_201607_25,That's why the Coalition is directing every lever of policy to secure our nation's prosperity and economic security for the 21st century.,0,1
26,26,63620_201607_26,Innovation and Science Agenda.,1,1
27,27,63620_201607_27,"The Turnbull Government's National Innovation and Science Agenda will help create a strong new economy with more jobs, by investing in the talents and ideas of the Australian people.",0,6
28,28,63620_201607_28,"The Coalition is investing $1.1 billion to incentivise innovation and entrepreneurship and help bring more great Australian ideas to market, by:",0,1
29,29,63620_201607_29,Providing tax incentives to encourage investment in innovative start-ups so they can survive and thrive;,0,6
30,30,63620_201607_30,Attracting more venture capital investment into high potential start-ups;,0,6
31,31,63620_201607_31,Making it easier for aspiring entrepreneurs to access crowd-sourced equity funding;,0,3
32,32,63620_201607_32,Helping small businesses attract world-class staff by improving employee share schemes; and,0,6
33,33,63620_201607_33,"Providing long-term funding certainty for cutting-edge, national research infrastructure.",0,6
34,34,63620_201607_34,"The Agenda will also help prepare our children for the jobs of the future by boosting participation in science, technology, engineering and maths (STEM) in schools.",0,6
35,35,63620_201607_35,The National Innovation and Science Agenda focuses on four priority areas:,0,1
36,36,63620_201607_36,Culture and capital ñ to help businesses embrace risk and incentivise early stage investment in start-ups;,0,6
37,37,63620_201607_37,"Collaboration ñ to increase the level of engagement between businesses, universities and the research sector to commercialise ideas and solve problems;",0,6
38,38,63620_201607_38,Talent and skills ñ to train Australian students for the jobs of the future and attract the world's most innovative talent to Australia; and,0,6
39,39,63620_201607_39,Government as an exemplar ñ leading by example in the way it invests in and uses technology and data to deliver better quality services.,0,1
40,40,63620_201607_40,The National Innovation and Science Agenda.,1,1
41,41,63620_201607_41,There has never been a more exciting time to be an Australian.,0,1
42,42,63620_201607_42,"Advances in technology are transforming just about every part of our lives, from the way we work to the way we communicate and access services.",0,1
43,43,63620_201607_43,"Innovation and science are critical for Australia to deliver new sources of growth, maintain high-wage jobs and seize the next wave of economic prosperity.",0,1
44,44,63620_201607_44,"Innovation is about new and existing businesses creating new products, processes and business models.",0,1
45,45,63620_201607_45,It is also about creating a culture that backs good ideas and learns from taking risks and making mistakes.,0,1
46,46,63620_201607_46,"Innovation is important to every sector of the economy ñ from ICT to healthcare, education to agriculture, and defence to transport.",0,1
47,47,63620_201607_47,"It is about tech entrepreneurs working on the latest product but, equally, about farmers using sensor technology to improve yields or a business bringing new products to market.",0,1
48,48,63620_201607_48,Innovation keeps us competitive.,0,5
49,49,63620_201607_49,It keeps us at the cutting edge.,0,5
50,50,63620_201607_50,It creates jobs.,0,5
51,51,63620_201607_51,And it will keep our standard of living high.,0,3
52,52,63620_201607_52,Australia is well-placed to take advantage of the opportunities presented by these exciting times.,0,1
53,53,63620_201607_53,"But to succeed, there are areas where we need to improve.",0,2
54,54,63620_201607_54,The National Innovation and Science Agenda will focus on four key pillars: Culture and capital; Collaboration; Talent and skills; and Government as an exemplar.,0,1
55,55,63620_201607_55,Together these pillars provide a framework for Australian innovation policy.,0,2
56,56,63620_201607_56,The initiatives are worth $1.1 billion over four years.,0,5
57,57,63620_201607_57,"The National Innovation and Science Agenda will drive smart ideas that create business growth, local jobs and global success.",0,6
58,58,63620_201607_58,Backing Small Business.,1,1
59,59,63620_201607_59,"Small business is the engine room of the Australian economy, employing 4.7 million Australians.",0,6
60,60,63620_201607_60,Small and medium businesses are driving jobs growth in Australia and must continue to do so.,0,1
61,61,63620_201607_61,"That is why last year, we announced:",0,1
62,62,63620_201607_62,A 1.5 percentage point tax cut for incorporated small businesses with a turnover of less than $2 million per year;,0,1
63,63,63620_201607_63,A 5% tax discount for unincorporated small businesses;,0,1
64,64,63620_201607_64,"Immediate tax deductions for each and every asset purchased up to $20,000; and",0,6
65,65,63620_201607_65,Immediate deductibility of professional expenses when establishing new small businesses.,0,6
66,66,63620_201607_66,"The Turnbull Government's†Ten Year Enterprise Tax Plan†will support growth, higher wages and jobs by lowering the tax rate for companies over time to an internationally competitive level.",0,6
67,67,63620_201607_67,We will: Cut the small business†company tax rate to 27.5 per cent†for small businesses with a turnover less than $10 million.,0,7
68,68,63620_201607_68,"Increase the†unincorporated tax discount from 5 per cent to 8 per cent, capped at $1,000 for small businesses with a turnover less than $5 million.",0,6
69,69,63620_201607_69,"Extend access to the instant asset write off†so that small businesses with a turnover less than $10 million can instantly deduct each and every asset under $20,000.",0,6
70,70,63620_201607_70,"Make life easier by†simplifying Business Activity Statements†(BAS), reducing reporting labels from seven to three.",0,5
71,71,63620_201607_71,The company tax rate will be progressively lowered to 25 per cent by 2026-27 for all companies.,0,5
72,72,63620_201607_72,We are also supporting small business by:,0,3
73,73,63620_201607_73,"Cutting red tape by $4.5 billion, including simplifying the process for establishing an employee share scheme and removing almost 450,000 small businesses from the PAYG system;",0,7
74,74,63620_201607_74,"Opening new markets by signing export trade agreements with China, Korea and Japan;",0,6
75,75,63620_201607_75,Extending protections against unfair contract terms to small businesses; and,0,6
76,76,63620_201607_76,Appointing the first ever Small Business and Family Enterprise Ombudsman.,0,6
77,77,63620_201607_77,The Coalition is also fixing Australia's competition laws to help small to medium companies compete with larger established ones and to ensure they're not shut out of markets unfairly by the big players.,0,6
78,78,63620_201607_78,"Adopting the recommendations of the Harper Review, the Coalition will repeal the current Section 46 of the Competition and Consumer Act and replace it with a new provision that prevents firms with substantial market power from engaging in conduct that has the purpose, effect or likely effect of substantially lessening competition.",0,7
79,79,63620_201607_79,This will prevent the misuse of market power and benefit small businesses.,0,3
80,80,63620_201607_80,"It will enhance competition, support innovation, benefit consumers and boost jobs and growth.",0,3
81,81,63620_201607_81,This is an important reform for Australia's more than two million small businesses.,0,1
82,82,63620_201607_82,Cleaning Up the Construction Industry.,1,1
83,83,63620_201607_83,"The Coalition will reintroduce the Australian Building and Construction Commission (ABCC), to restore the rule of law in the construction industry.",0,6
84,84,63620_201607_84,"The construction industry employs more than 1 million Australians, in around 340,000 (predominantly small) businesses.",0,1
85,85,63620_201607_85,"Unfortunately, bullying, intimidation and lawlessness are rife.",0,1
86,86,63620_201607_86,"As at March 2016, there were over 100 officials of the Construction, Forestry, Mining and Energy Union (CFMEU) before the courts for allegedly breaching workplace laws.",0,1
87,87,63620_201607_87,"Currently, around 2 out of every 3 working days lost to industrial disputes are in the construction industry.",0,1
88,88,63620_201607_88,"Since Labor abolished the ABCC, the number of working days lost to industrial disputes in the construction industry has increased by 34%.",0,1
89,89,63620_201607_89,"Re-establishing the ABCC is critical for jobs, growth and our transition to a strong new economy.",0,7
90,90,63620_201607_90,Restoring the rule of law to the construction industry is also critical for Australia's ability to afford the infrastructure of the 21st century.,0,7
91,91,63620_201607_91,AN HONEST AND FAIR WORKPLACE RELATIONS SYSTEM.,1,1
92,92,63620_201607_92,"The recent Royal Commission into Trade Union Governance and Corruption found a ``widespread""ù and ``deep-seated""ù culture of lawlessness.",0,1
